iter	Passed	Remaining
779	3654	1030
780	3658	1025
781	3662	1021
782	3667	1016
783	3671	1011
784	3675	1006
785	3679	1001
786	3683	997
787	3687	992
788	3692	987
789	3696	982
790	3700	977
791	3704	972
792	3709	968
793	3712	963
794	3716	958
795	3719	953
796	3724	948
797	3728	943
798	3732	938
799	3735	933
800	3739	929
801	3743	924
802	3748	919
803	3752	914
804	3757	910
805	3760	905
806	3764	900
807	3768	895
808	3774	891
809	3778	886
810	3782	881
811	3785	876
812	3790	871
813	3794	867
814	3798	862
815	3804	857
816	3808	853
817	3812	848
818	3816	843
819	3821	838
820	3825	834
821	3829	829
822	3833	824
823	3837	819
824	3841	814
825	3846	810
826	3850	805
827	3855	800
828	3859	796
829	3863	791
830	3867	786
831	3872	781
832	3876	777
833	3880	772
834	3885	767
835	3890	763
836	3894	758
837	3898	753
838	3903	749
839	3908	744
840	3911	739
841	3916	734
842	3920	730
843	3924	725
844	3927	720
845	3932	715
846	3936	711
847	3940	706
848	3943	701
849	3947	696
850	3953	692
851	3958	687
852	3962	682
853	3967	678
854	3971	673
855	3975	668
856	3980	664
857	3983	659
858	3988	654
859	3992	649
860	3997	645
861	4001	640
862	4004	635
863	4009	631
864	4014	626
865	4017	621
866	4021	616
867	4025	612
868	4030	607
869	4034	602
870	4039	598
871	4043	593
872	4047	588
873	4052	584
874	4056	579
875	4061	574
876	4065	570
877	4069	565
878	4073	560
879	4078	556
880	4082	551
881	4085	546
882	4089	541
883	4094	537
884	4097	532
885	4101	527
886	4104	522
887	4109	518
888	4113	513
889	4116	508
890	4120	504
891	4125	499
892	4129	494
893	4133	490
894	4136	485
895	4142	480
896	4146	476
897	4150	471
898	4154	466
899	4160	462
900	4164	457
901	4169	452
902	4174	448
903	4178	443
904	4181	438
905	4185	434
906	4190	429
907	4194	424
908	4197	420
909	4201	415
910	4206	410
911	4210	406
912	4213	401
913	4217	396
914	4222	392
915	4226	387
916	4229	382
917	4233	378
918	4238	373
919	4242	368
920	4246	364
921	4250	359
922	4254	354
923	4259	350
924	4262	345
925	4267	340
926	4271	336
927	4274	331
928	4278	327
929	4282	322
930	4287	317
931	4290	313
932	4295	308
933	4301	303
934	4305	299
935	4309	294
936	4314	290
937	4318	285
938	4323	280
939	4327	276
940	4331	271
941	4335	266
942	4339	262
943	4344	257
944	4348	253
945	4353	248
946	4357	243
947	4361	239
948	4366	234
949	4371	230
950	4374	225
951	4378	220
952	4383	216
953	4386	211
954	4390	206
955	4394	202
956	4399	197
957	4403	193
958	4406	188
959	4410	183
960	4415	179
961	4419	174
962	4423	169
963	4427	165
964	4432	160
965	4436	156
966	4440	151
967	4445	146
968	4450	142
969	4454	137
970	4459	133
971	4463	128
972	4467	123
973	4471	119
974	4475	114
975	4479	110
976	4483	105
977	4487	100
978	4490	96
979	4495	91
980	4498	87
981	4502	82
982	4506	77
983	4510	73
984	4514	68
985	4517	64
986	4521	59
987	4526	54
988	4529	50
989	4533	45
990	4537	41
991	4541	36
992	4546	32
993	4550	27
994	4554	22
995	4559	18
996	4563	13
997	4566	9
998	4570	4
999	4575	0
